ORGANIZATION,DISCIPLINE,EXP_BUDGET,ANNUAL_AUD,YOUTH,ADDRESS,ADDRESS_2,CITY,ZIP,COUNTY,STATE
"Mentoring Peace Through Art, Inc.",Visual Arts & Architecture,"$12,310","33,000","19,000",5267 Nolan Pkwy,,Stillwater,55082,Washington,MN
Midway Contemporary Art,Visual Arts & Architecture,"$537,358","5,300",300,527 2nd Ave SE,,Minneapolis,55414-1103,Hennepin,MN
Rocori Community EducationArts Project,Other,"$4,890",385,135,527 Main St,,Cold Spring,56320-2325,Stearns,MN
Obsidian Arts,Humanities,"$93,775",150,100,528 Hennepin Ave,,Minneapolis,55403,Hennepin,MN
Italian Cultural Center,Arts Multipurpose,"$30,130",590,210,528 Hennepin Ave,,Minneapolis,55403,Hennepin,MN
VSA Minnesota,Arts Multipurpose,"$448,919","3,400",900,528 Hennepin Ave,,Minneapolis,55403-1810,Hennepin,MN
"Ballet Works, Inc./James Sewell Ballet",Performing Arts,"$1,040,591","13,000","3,000",528 Hennepin Ave,,Minneapolis,55403-1810,Hennepin,MN
Minnesota Dance Theatre and School,Performing Arts,"$1,051,271","19,525","5,650",528 Hennepin Ave,,Minneapolis,55403-1847,Hennepin,MN
"Zenon Dance Company and School, Inc.",Performing Arts,"$751,547","11,500","5,000",528 Hennepin Ave,,Minneapolis,55403-1810,Hennepin,MN
Minnesota Chorale,Performing Arts,"$664,119","26,000","4,000",528 Hennepin Ave,,Minneapolis,55403-1810,Hennepin,MN
National Lutheran Choir Corporation,Performing Arts,"$483,214","9,000","1,000",528 Hennepin Ave,,Minneapolis,55403,Hennepin,MN
Twin Cities Gay Mens Chorus,Performing Arts,"$649,082","4,700",100,528 Hennepin Ave,,Minneapolis,55403-1810,Hennepin,MN
"Illusion Theater and School, Inc.",Performing Arts,"$1,134,481","20,000","10,000",528 Hennepin Ave,,Minneapolis,55403-1814,Hennepin,MN
"Contemporary Dance Arts, Inc.",Performing Arts,"$153,331",900,200,528 Hennepin Ave S,,Minneapolis,55403,Hennepin,MN
Cowles Center for Dance and Music/Minnesota Shubert Center,Performing Arts,"$3,586,674",315,100,528 Hennepin Ave S,,Minneapolis,55403,Hennepin,MN
Stuart Pimsler Dance and Theater,Performing Arts,"$425,962","6,000","3,500",528 Hennepin Ave S,,Minneapolis,55403,Hennepin,MN
Shapiro and Smith Dance,Performing Arts,"$144,321 ",0,,528 Hennepin Ave S Ste 401,,Minneapolis,55403,Hennepin,MN
Black Label Movement,Performing Arts,"$68,521 ",0,,528 Hennepin Avenue,Suite #401,Minneapolis,55403-1494,Hennepin,MN
Edina Singing Seniors,Performing Arts,"$12,000","1,250",0,5280 Grandview Sq,,Edina,55436,Hennepin,MN
Red Wing Singers,Performing Arts,"$5,793",800,150,529 9th St,,Red Wing,55066,Goodhue,MN
Northern Starz Theatre Company,Performing Arts,"$71,008",374,230,5300 Alpine Dr,,Ramsey,55303,Anoka,MN
Braham Area High SchoolArts Project,Other,"$74,545",330,160,531 Elmhurt Ave S,,Braham,"55,006",Isanti,MN
Mantorville Restoration Association/Mantorville Restoration House,History,"$82,430","29,000","6,500",540 N Main St,PO Box 311 ,Mantorville,55955,Dodge,MN
Minnesota State Public School Orphanage Museum,History,"$20,000","1,100",150,540 W Hills Circ,,Owatonna,55060,Steele,MN
Simply ArtAble,Visual Arts & Architecture,"$159,630",250,50,5411 Nicollet Ave S,,Minneapolis,55419,Hennepin,MN
Simply Jane,Visual Arts & Architecture,"$154,646 ",953,,5411 Nicollet Ave S,,Minneapolis,55419,Hennepin,MN
Turtle Theater Collective,Performing Arts,"$14,800",350,50,5412 43rd Ave S,,Minneapolis,55417,Hennepin,MN
Audubon Center of the North Woods,Other,"$1,659,137",0,,54165 Audubon Rd PO Box 530,,Sandstone,55072-0530,Pine,MN
Northport Elementary SchoolArts Project,Other,"$70,270","1,190",640,5421 Brooklyn Blvd,,Brooklyn Center,55429,Hennepin,MN
Full Circle Theater Company,Performing Arts,"$52,624","1,200",200,5436 Clinton Ave S,,Minneapolis,55419,Hennepin,MN
Katha Dance Theatre,Performing Arts,"$193,354","2,950","1,150",5444 Orchard Ave N,,Crystal,55429-3246,Hennepin,MN
Iron Range Historical Society,History,"$2,400",475,0,545 Grand Ave,,McKinley,55741,St. Louis,MN
Blossoms of the Orient,Performing Arts,"$15,066",200,100,5451 Dupont Ave N,,Brooklyn Center,55430,Hennepin,MN
University of Minnesota Urban Research and Outreach Engagement CenterArts Project,Other,"$10,000",375,250,5455 Timber Trl,,Maple Plain,55359,Hennepin,MN
Crow River Drumline Association,Performing Arts,"$45,566","4,000","2,000",547 Milwaukee Ave SW,,Hutchinson,55350,McLeod,MN
Outdoor Painters of Minnesota,Visual Arts & Architecture,"$12,500",120,0,5476 Byscane Ln,,Minnetonka,55345,Hennepin,MN
Chaske Cikala Wacipi,Arts Multipurpose,"$9,885",700,200,549 Saxony Ct,,Chaska,55318,Carver,MN
SteppingStone Theater Company,Performing Arts,"$1,157,789","40,703","27,203",55 Victoria St N,,Saint Paul,55104,Ramsey,MN
IFP Minnesota/Film North,Media & Communications,"$679,819","4,850",350,550 Vandalia St,Suite 120,Saint Paul,55114-1943,Ramsey,MN
Shakespearean Youth Theater Company,Performing Arts,"$23,968",600,200,550 Vandalia St,,Saint Paul,55114,Ramsey,MN
Wonderlust Productions,Performing Arts,"$112,554","2,400",0,550 Vandalia St,,Saint Paul,55114,Ramsey,MN
"Theatre Unbound, Inc.",Performing Arts,"$52,000",415,0,550 Vandalia Street,PO Box 6134,Minneapolis,55406-0134,Hennepin,MN
Zumbrota Community Band,Performing Arts,"$3,907","3,500",500,550 Warren Ave,,Zumbrota,55992,Goodhue,MN
Museum of Russian Art,Visual Arts & Architecture,"$1,336,375","37,400","1,400",5500 Stevens Ave S,,Minneapolis,55419,Hennepin,MN
Wyoming Area Creative Arts Community,Arts Multipurpose,"$44,700","3,701",347,5521 Viking Blvd NE,,Wyoming,55092,Chisago,MN
Minnesota State Old Time Fiddle Contest,Performing Arts,"$8,331",141,14,5529 Emerald Avenue,PO Box 600,Virginia,55768,St. Louis,MN
Nisswa Elementary School Parent Teacher OrganizationArts Project,Other,"$3,700",550,350,5533 Lakers Ln,,Nisswa,56468,Crow Wing,MN
Isanti County Parks DepartmentArts Project,Other,"$1,000",99,35,555 18th Ave SW,,Cambridge,55008,Isanti,MN
Carver County Historical Society,History,"$247,594","8,892",0,555 West First Street,,Waconia,55387,"Carver, Statewide",MN
Brooklyn Historical Society,History,"$2,000",550,200,5600 85th Avenue North,,Brooklyn Park,55443,Hennepin ,MN
North Ballet Youth Company,Performing Arts,"$36,872","1,200",800,5600 Queens Ave NE,,Otsego,55330,Wright,MN
Mount Olivet Day ServicesArts Project,Other,"$16,490",105,25,5601 Lyndale Ave S,,Minneapolis,55419,Hennepin,MN
League of Minnesota Poets,Literary & Arts,"$4,058",450,50,5612 23rd Ave S,,Minneapolis,55417,Hennepin,MN
Mounds View Community Theatre,Performing Arts,"$48,500","3,000",500,5613 St Stephen St,,Mounds View,55112-1209,Ramsey,MN
Prairie Island Indian Community (PIIC)History Project,History,"$78,330",0,,5636 Sturgeon Lake Road,,Welch,55068,Goodhue,MN
Southeast Minnesota Federation Music Club,Performing Arts,"$7,625",430,280,564 5th St SW,,Pine Island,55963,Goodhue,MN
Diversity Street Dancers,Performing Arts,"$4,498",110,10,5645 Green Circle Dr,,Minnetonka,55343,Hennepin,MN
New Griots Festival,Arts Multipurpose,"$22,000","3,150",150,5650 36th St W,,Saint Louis Park,55416,Hennepin,MN
Finland Minnesota Historical Society/Heritage Site,History,"$9,914",0,,5653 County Road 6,PO Box 583,Finland,55603,Lake,MN
Chameleon Theatre Circle,Performing Arts,"$87,634",700,50,5664 142nd St W,,Apple Valley,55124,Dakota,MN
Screen Porch Productions,Performing Arts,"$29,625",754,150,5679 Woods Bay Dr NE,,Outing,56662-4401,Cass,MN
Pathway Learning Center,Performing Arts,"$22,300","1,500",500,571 Cypress St,,Saint Paul,55106,Ramsey,MN
Farmer Labor Education Committee  History Project,History,"$13,951",0,,5720 Russell Ave. S,,Minneapolis,55410,Ramsey,MN
Hill House Chamber Players,Performing Arts,"$18,960",512,12,5730 Royal Oaks Dr,,Shoreview,55126,Ramsey,MN
Alternative Motion Project,Performing Arts,"$37,312",325,15,5740 36th Ave S,,Minneapolis,55417,Hennepin,MN
Irish Cultural Society of New Ulm,Arts Multipurpose,"$8,995",700,125,57556 County Road 21,PO Box 326,New Ulm,56073,Brown,MN
Archie and Phebe Mae Givens Foundation,Literary & Arts,"$340,399",550,500,5775 Wayzata Blvd,,Saint Louis Park,55416,Hennepin,MN
Casa de España en Minnesota,Arts Multipurpose,"$34,150","1,200",200,578 Montrose Ln,,Saint Paul,55116,Ramsey,MN
Urban Spectrum Theatre Company,Performing Arts,"$11,700",850,200,5812 11th Ave S,,Minneapolis,55417-3202,Hennepin,MN
Dans Askina Turkish Dance Ensemble,Performing Arts,"$20,900",40,0,5818 Halifax Ave N,,Brooklyn Center,55429,Hennepin,MN
Exposed Brick Theatre,Performing Arts,"$19,062",550,150,586 Eustis St,,Saint Paul,55104,Ramsey,MN
Six Elements Theatre Company,Performing Arts,"$26,000",600,0,587 Como Ave,,Saint Paul,55103,Ramsey,MN
Reach for ResourcesArts Project,Other,"$8,037",145,25,5900 Green Oak Dr,,Minnetonka,55343,Hennepin,MN
Women of the West Quilters,Visual Arts & Architecture,"$15,897",525,25,5925 Hackmann Ave NE,PO Box 46222,Plymouth,55447,Hennepin,MN
Los Alegres Bailadores,Performing Arts,"$12,300",250,75,5935 Bryant Ln,,Inver Grove Heights,55076,Dakota,MN
Minnesota Coalition for Battered WomenArts Project,Other,"$17,956",201,200,60 Plato Blvd E,,Saint Paul,55107,Ramsey,MN
Regents of the U of M MorrisArts Project,Other,"$3,960",25,0,600 4th St E,,Morris,56267-2134,Stevens,MN
Lake Superior Marine Museum Association/Maritime Visitor Center,History,"$104,212","539,841",,600 Canal Park Drive,PO Box 177,Duluth,55801-0177,Saint Louis,MN
KUMM FM University of MN Morris,Media & Communications,"$108,900",0,,600 East 4th Street ,,Morris,56267,Stevens,MN
Community and Seniors TogetherArts Project,Other,"$2,400",60,0,600 German St N,,New Ulm,56073-1673,Brown,MN
Henderson Chamber of CommerceArts Project,Other,"$2,000",250,50,600 Main St,PO Box 433,Henderson,56044,Sibley,MN
Henderson Sauerkraut Days,Performing Arts,"$15,101","6,500","1,500",600 Main St,,Henderson,56044,Sibley,MN
Community Legacy Foundation,Arts Multipurpose,"$30,300","7,000","1,000",600 Main St S,,Sauk Centre,56378,Stearns,MN
West Concord Historical Society and Community Center,History,"$56,494",0,,600 W 1st St.,,West Concord,55985,Dodge,MN
Northern Bedrock Historic Preservation Corps,History,"$508,608",0,,6004 London Road,,Duluth,55804,Duluth,MN
DaNCEBUMS,Performing Arts,"$31,500",400,50,601 Broadway St NE,,Minneapolis,55413,Hennepin,MN
Buffalo Community Theater,Performing Arts,"$150,050","4,580","1,180",602 Fir St E,,Buffalo,55313-0023,Wright,MN
City of TowerHistory Project,History,"$8,500",0,,602 Main Street,PO Box 576,Tower,55782,St. Louis,MN
Washington County Historical Society ,History,"$185,845",0,,602 North Main Street,PO Box 167,Stillwater,55082,Washington,MN
Wadena County Historical Society,History,"$51,520",300,200,603 N Jefferson,,Wadena,56482,Wadena,MN
Oldenburg Arts and Cultural Community,Arts Multipurpose,"$10,000",390,350,604 Chestnut Ave,,Carlton,55718,Carlton,MN
Ada Borup School DistrictArts Project,Other,"$27,000","1,500",500,604 Thorpe Ave W,,Ada,56510,Norman,MN
Blue Water Theatre Company,Performing Arts,"$216,664 ",0,,605 Rice Street East,PO Box 662,Wayzata,55391,Hennepin,MN
Little Falls Convention and Visitors Bureau,Other,"$7,500",3,0,606 1st St SE,,Little Falls,56449,Morrison,MN
Central Minnesota Youth Orchestra,Performing Arts,"$28,390",650,150,606 Wilson Ave NE,,Saint Cloud,56304,Benton,MN
KKWE White Earth Land Recovery Project,Media & Communications,"$170,699",770,100,607 Main Avenue,,Callaway,56521,Becker,MN
Czech Heritage Club,Arts Multipurpose,"$6,604",515,40,6075 50th St W,,Webster,55088,Rice,MN
Southeast Minnesota Bluegrass Association,Performing Arts,"$55,172","4,333",861,608 East Jessie Street,PO Box 93,Rushford,55971,Fillmore,MN
Linden Hill Historical Event Center and Museum/Friends ,History,"$126,320",0,,608 Highland Avenue,,Little Falls,56345,Morrison,MN
Ameriikan Poijat Finnish Brass Band,Performing Arts,"$16,345","3,500",500,608 Zanmiller Dr W,,Northfield,55057,Rice,MN
Fridley Community Theatre,Performing Arts,"$36,321","1,500",300,6085 7th St NE,,Fridley,55432,Anoka,MN
Big Stone Arts Council,Arts Multipurpose,"$5,000",30,15,61 Dahle Ave,PO Box 42,Ortonville,56278,Big Stone,MN
Lincoln County Historical Society/Pioneer Village Museum,History,"$8,545",0,,610 Elm St.,P.O Box 211,Hendricks ,56136,Lincoln,MN
Lakes Chamber Music Society,Performing Arts,"$31,700",490,15,610 Fillmore St,,Alexandria,56308,Douglas,MN
Kandiyohi County Historical Society/History Center,History,"$195,517","10,025",25,610 Hwy 71 NE,,Willmar,56201,Kandiyohi,MN
Eagan TV/Eagan Television/E TV,Media & Communications,"$488,853",135,0,610 Opperman Drive - DLL-550,,Eagan,55123,Dakota,MN
River Junctions Arts Council,Arts Multipurpose,"$4,300",585,50,611 Broadway Ave,PO Box 212,Wabasha,55981,Wabasha,MN
"Hope Community, Inc.",Arts Multipurpose,"$324,330",38,20,611 Franklin Ave E,,Minneapolis,55404,Hennepin,MN
Fridley Historical Society/Center,History,"$14,716",0,,611 Mississippi St NE,,Fridley,55432,Anoka,MN
City of HenningHistory Project,History,"$4,000",0,,612 Front Street,,Henning,56551,Otter Tail,MN
Minnesota Music Educators Association,Other,"$716,485","10,236",0,6120 Earle Brown Drive # 215,,Brooklyn Center,55430,Hennepin ,MN
Harmony Theatre Company and School,Performing Arts,"$6,540",600,200,6121 Excelsior Blvd,,Saint Louis Park,55416,Hennepin,MN
"People Serving People Charities, Inc.Arts Project",Other,"$8,020",208,200,614 3rd St S,,Minneapolis,55415,Hennepin,MN
"youthrive, Inc./Zenith ServicesArts Project",Other,"$44,214","1,684","1,230",615 1st Ave NE,,Minneapolis,55413,Hennepin,MN
Minneapolis Musical Theatre,Performing Arts,"$81,589 ",0,,"615 Hennepin Avenue, Suite 140",,Minneapolis,55403-1818,Hennepin,MN
Dodge County Historical Society,History,"$25,176",0,,615 N Main Street,PO Box 456,Mantorville,55955,Dodge,MN
Dover Eyota Music Association,Performing Arts,"$73,370","13,000","5,000",615 South Ave,,Eyota,55934,Olmsted,MN
Queertopia,Arts Multipurpose,"$7,310",250,25,616 S 19th Ave,,Minneapolis,55454,Hennepin,MN
"Alexandria Area Arts Association, Inc.",Performing Arts,"$241,117","25,627","1,389",618 Broadway St,,Alexandria,56308,Douglas,MN
Minnesota Opera,Performing Arts,"$10,677,648","165,000","15,000",620 1st St N,,Minneapolis,55401-1225,Hennepin,MN
Allegro Choral Academy,Performing Arts,"$51,663","1,700","1,100",6200 140th St W,PO Box 241325,Apple Valley,55124,Dakota,MN
Lind House Association,History,"$33,803","1,600",200,622 Center St,,New Ulm,56073,Brown,MN
Christkindlmarkt New Ulm,Arts Multipurpose,"$12,750","4,575",400,622 Center St,,New Ulm,56073,Brown,MN
GnomeMade Artisans,Arts Multipurpose,"$3,818",400,200,622 Center St,,New Ulm,56073,Brown,MN
"Redeemer Residence, Inc.Arts Project",Other,"$7,325",106,6,625 31st St W,,Minneapolis,55408,Hennepin,MN
Cambridge Isanti Community EducationArts Project,Other,"$34,886","2,802","1,850",625B Main St N,,Cambridge,55008,Isanti,MN
"Lake County Developmental Achievement Center, Inc.",Visual Arts & Architecture,"$14,675",170,20,626 2nd Ave,,Two Harbors,55616,Lake,MN
Gender Reel,Media & Communications,"$21,500",350,50,626 Iowa Ave W,,Saint Paul,55117,Ramsey,MN
Inaccurate Vernacular,Media & Communications,"$10,500",175,25,6280 County Rd 120,,Saint Cloud,56303,Stearns,MN
Wolf Ridge Environmental Learning Center,Other,"$3,289,809","21,700",,6282 Cranberry Road,,Finland,55603,Lake,MN
Prairie Renaissance Cultural Alliance,Arts Multipurpose,"$43,800","1,550",50,630 Atlantic Ave,,Morris,56267,Stevens,MN
"Korean Service Center, Inc",Performing Arts,"$45,280",160,50,630 Cedar Ave S,,Minneapolis,55454,Hennepin,MN
Project GEM,Arts Multipurpose,"$40,495",175,60,631 320th Ave,,Pemberton,56078,Waseca,MN
Heritage Arts Folk School,Arts Multipurpose,"$3,125",385,35,631 3rd Ave NE,,Staples,56479,Todd,MN
Duluth Public Television/WDSE WRPT ,Media & Communications,"$3,407,963",0,,632 Niagara Court,,Duluth,55811-3098,Saint Louis,MN
Journey Productions,Performing Arts,"$26,000",930,500,6328 Welcome Ave N,,Brooklyn Park,55429,Hennepin,MN
Pine County Historical Society,History,"$101,700",0,,6333 H C Andersen Alle PO Box 123,,Askov,55704,Pine,MN
Minnesota 9 11 Tribute,Performing Arts,"$10,660","3,575",75,634 Watson Ave,,Saint Paul,55102,Ramsey,MN
Drama Interaction,Performing Arts,"$20,336",150,0,6352 Josephine Ave,,Edina,55439,Hennepin,MN
Bird Island Cultural Centre,Arts Multipurpose,"$15,567",135,80,640 Dogwood Ave,PO Box 434,Bird Island,55310,Renville,MN
StoryArk,Arts Multipurpose,"$30,484",140,40,640 Main St N,,Stillwater,55082,Washington,MN
City of North BranchArts Project,Other,"$5,022",225,150,6408 Elm St,,North Branch,55056-5973,Chisago,MN
City of Granite FallsArts Project,Other,"$19,700",95,50,641 Prentice St,,Granite Falls,56241,Yellow Medicine,MN
"CLIMB Theatre, Inc.",Performing Arts,"$1,181,234","135,022","127,246",6415 Carmen Ave E,,Inver Grove Heights,55076,Dakota,MN
Minnesota Cambodian Communities CouncilArts Project,Other,"$15,600",200,75,6421 45th Ave N,,Crystal,55428,Hennepin,MN
Paynesville Area Historical SocietyHistory Project,History,"$7,980",0,,647 Stearns Ave.,c/o Carolyn Swyter,Paynesville,56362,Stearns,MN
Art Educators of Minnesota,Visual Arts & Architecture,$239,"150,475","150,000",6500 Casey Parkway,,Prior Lake,55372,Scott,MN
Movement Architecture,Performing Arts,"$37,775",240,40,653 Galtier St,,Saint Paul,55103,Ramsey,MN
Public Theater of Minnesota,Performing Arts,"$12,880","3,200",600,6542 Lake St W,,Saint Louis Park,55416,Hennepin,MN
Central Public Schools Community EducationArts Project,Other,"$9,000","2,800",500,655 7th St,,Norwood Young America,55368,Carver,MN
Tusen Tack Braham Event Center,Arts Multipurpose,"$6,600",175,25,655 8th Street SW,PO Box 214,Braham,55006,Isanti,MN
Saint Paul Ballet,Performing Arts,"$532,538","8,427","3,170",655 Fairview Ave N,,Saint Paul,55104,Ramsey,MN
West Bank School of Music,Performing Arts,"$107,490",100,50,655 Fairview Ave N,,Saint Paul,55104,Ramsey,MN
Creative Minnesota,Other,"$96,250","7,838",,661 LaSalle St #220,,Saint Paul,55114,Ramsey,MN
Minnesota Citizens for the Arts (MCA),Other,"$466,458","3,000",0,661 LaSalle Street #220,"St Paul, MN",Saint Paul,55114-1600,Ramsey,MN
Midtown Global Music Festival,Performing Arts,"$41,660","9,500","1,000","663 University Ave, Ste 200",,Saint Paul,55104,Ramsey,MN
Firefighters Hall and Museum,History,"$76,391",0,,664 22nd Avenue Northeast,,Minneapolis,55418,Hennepin ,MN
Artists del Norte,Visual Arts & Architecture,"$2,498",78,8,6666 River Rd E,,Fridley,55432,Anoka,MN
Banfill Locke Center for the Arts,Visual Arts & Architecture,"$128,167","7,500","1,500",6666 River Rd E,,Fridley,55432-4229,Anoka,MN
Friends of Swede HollowArts Project,Arts Multipurpose,"$16,767","1,850",250,668 Greenbrier St,,Saint Paul,55106,Ramsey,MN
Minnesota Air National Guard Historical Foundation,History,"$154,638",0,,670 General Miller Drive,PO Box 11598,Saint Paul,55111,Ramsey,MN
Saint Louis Park Friends of the Arts,Arts Multipurpose,"$81,531",72,16,6715 Minnetonka Blvd,,Saint Louis Park,55426,Hennepin,MN
Maggie’s Farm Free Range Theater,Performing Arts,"$13,275","1,600",685,6715 Minnetonka Boulevard,PO Box 26743,Saint Louis Park,55426,Hennepin,MN
JLR Foundation,Performing Arts,"$80,050",500,200,6737 Sheridan Ave S,,Richfield,55423,Hennepin,MN
Edina Chorale,Performing Arts,"$58,856",750,50,6754 Valley View Rd,PO Box 24402,Edina,55424,Hennepin,MN
"Rondo Avenue, Inc.",History,"$176,477",0,,679 Holly Avenue,,Saint Paul,55104,Ramsey,MN
Tamil Association of Minnesota,Performing Arts,"$105,114","1,000",300,6820 29th St Cir N,,Oakdale,55128,Washington,MN
Chamber Music Lakeville,Performing Arts,"$21,738",220,20,6857 133rd St W,,Apple Valley,55124,Dakota,MN
Vecchione/Erdahl Duo/OboeBass!,Performing Arts,"$47,191",220,20,6857 133rd St W,,Apple Valley,55124,Dakota,MN
ComMUSICation,Performing Arts,"$147,578",175,100,690 Jackson St,,Saint Paul,55130,Ramsey,MN
KOJB FM Leech Lake Band of Ojibwe,Media & Communications,"$190,235",0,,6920 Littlewolf Road Northwest,,Cass Lake,56633,Cass,MN
AirSpace Minnesota,History,"$130,559",0,0,6975 34th Avenue South,,Minneapolis,55450,Statewide,MN
"Morris Park Singers, Inc.",Performing Arts,"$45,773","2,000",500,700 22nd Avenue Northeast,PO Box 385,Minneapolis,55418,Hennepin,MN
SunsetGun Productions,Performing Arts,"$20,865",290,0,700 Douglas Ave,,Minneapolis,55403,Hennepin,MN
Bethany Lutheran CollegeArts Project,Other,"$39,168",750,50,700 Luther Dr,,Mankato,56001,Blue Earth,MN
Sibley County Historical Society/Museum,History,"$10,214",0,,700 Main St ,PO Box 407,Henderson,56044,Sibley,MN
"Saint Marys University of Minnesota, Page Theatre",Arts Multipurpose,"$328,370","6,505","3,430",700 Terrace Hts,,Winona,55987-1321,Winona,MN
Ada Summer Childrens Theater,Performing Arts,"$5,325",310,93,701 7th St W,,Ada,56510,Norman,MN
Mayo Clinic Health System in Red WingArts Project,Other,"$13,530","1,040",86,701 Hewitt Blvd,,Red Wing,55066,Goodhue,MN
Minnesota Museum of Mining,History,"$45,587",0,,701 Lake St W,PO Box 271,Chisholm,55719,Saint Louis,MN
Hennepin Healthcare FoundationArts Project,Other,"$113,263",900,500,701 Park Ave,,Minneapolis,55415,Hennepin,MN
Norman County Historical Society,History,"$20,000",300,100,701 West Thorpe Ave.,PO Box 210,Ada,56510,Norman,MN
Granite Falls Riverfront RevitalizationArts Project,Other,"$5,000","1,300",500,702 Prentice St,PO Box 13,Granite Falls,56241,Yellow Medicine,MN
Discover Music,Performing Arts,"$87,834",91,90,7037 20th Ave S,,Centerville,55038,Anoka,MN
4 Community Theatre,Performing Arts,"$21,386","1,000",500,705 Old Crystal Bay Rd N,,Long Lake,55356,Hennepin,MN
Princeton Public SchoolArts Project,Other,"$86,000","9,250","4,750",706 1st St,,Princeton,"55,371",Mille Lacs,MN
Canvas HealthArts Project,Other,"$6,430",50,0,7066 Stillwater Blvd N,,Oakdale,55128,Washington,MN
Twin Cities Musicians Union,Other,"$601,000","5,000",0,708 North 1st Street #CR 31,,Minneapolis,55401,Hennepin ,MN
Proof Public,Visual Arts & Architecture,"$6,000",335,35,708 W 26th St,,Minneapolis,55405,Hennepin,MN
Southern Minnesota Independent Living Enterprises and ServicesArts Project,Other,"$10,970",700,150,709 Front St S,,Mankato,56001-3887,Blue Earth,MN
Twin Cities Labor Chorus,Performing Arts,"$6,914","2,100",100,710 Olive Street,PO Box 40095,Saint Paul,55104,Ramsey,MN
Great River Educational Arts Theatre,Performing Arts,"$1,258,786","62,000","37,000",710 Sundial Dr,,Waite Park,56387,Stearns,MN
International Wolf Center,Other,"$1,563,478","20,000","5,000",7100 Northland Cir N,,Brooklyn Park,55428,Hennepin,MN
Ragamala Dance,Performing Arts,"$734,921","14,000","4,000",711 Lake St W,,Minneapolis,55408-2975,Hennepin,MN
Pangea World Theater,Performing Arts,"$530,901","8,000","1,000",711 Lake St W,,Minneapolis,55408,Hennepin,MN
Crossing Arts Alliance,Arts Multipurpose,"$187,150","4,400",600,711 Laurel St,,Brainerd,56401,Crow Wing,MN
"Friends of the Auditorium, Inc.",Arts Multipurpose,"$135,206","17,000","10,348",714 13th Street,PO Box 624,Worthington,56187,Nobles,MN
Becker County Museum and Historical Society,History,"$150,000","6,900","2,500",714 Summit Ave,,Detroit Lakes,56501,Becker,MN
Richfield Community EducationArts Project,Other,"$54,295",150,100,7145 Harriet Ave S,,Richfield,55423,Hennepin,MN
Cold Spring Area Historical Society,History,"$2,987",0,,715 1st St N,,Cold Spring,56320,Stearns,MN
Lakes Area Music Festival,Performing Arts,"$349,020","12,085","1,285",715 Laurel Street,PO Box 96,Brainerd,56401,Crow Wing,MN
Polk County Historical Society,History,"$37,131",450,50,719 East Robert Strett,P.O. Box 214,Crookston,56716,Polk,MN
Saint Cloud State UniversityArts Project,Other,"$27,308","12,500","1,500",720 4th Ave S,,Saint Cloud,56301-4498,Stearns,MN
Valley Youth Centers of DuluthArts Project,Other,"$1,000",89,88,720 Central Ave N,,Duluth,55807,St. Louis,MN
Saint Cloud State UniversityHistory Project,History,"$24,006",0,,720 Fourth Avenue S,,Saint Cloud,56301,Stearns,MN
Reif Arts Council/Reif Center,Arts Multipurpose,"$873,571","28,000","8,000",720 NW Conifer Dr,,Grand Rapids,55744-2475,Itasca,MN
Itasca Orchestra and Strings Program,Performing Arts,"$153,997","4,611","4,406",720 NW Conifer Dr.,PO Box 140,Grand Rapids,55744,Itasca,MN
Minnesota Chinese Music Ensemble,Performing Arts,"$20,727",400,100,7201 Harriet Ave S,,Richfield,55423,Hennepin,MN
Lake Superior Zoo/Lake Superior Zoological Society,Other,"$2,119,291","87,112","5,188",7210 Fremont St,,Duluth,55807,Saint Louis,MN
Howard Lake Waverly Winsted Theatre Arts Boosters,Performing Arts,"$3,500",975,225,723 Keats AVE SW,,Howard Lake,55349,Wright,MN
"The Shop, Brainerd Baxter Youth CenterArts Project",Other,"$15,334",60,50,723 Washington St,,Brainerd,56401,Crow Wing,MN
John Paulson Jazz Group,Performing Arts,"$8,300",37,27,725 37th Ave,,Winona,55987,Winona,MN
Minnesota Pioneer Park,History,"$49,401",0,,725 Pioneer Park Trail,,Annandale,55302,Wright,Mn
Land of Lakes Choirboys of Minnesota,Performing Arts,"$232,072","6,300","2,500",729 Main Street Northwest,PO Box 74,Elk River,55330,Sherburne,MN
TigerLion Arts,Performing Arts,"$246,655","1,200",400,730 2nd Ave S,,Minneapolis,55402,Hennepin,MN
Isle School DistrictArts Project,Other,"$1,900",345,45,730 5th Ave S,PO Box 251071,Isle,56342,Mille Lacs,MN
Mankato Ballet Company,Performing Arts,"$192,000","3,800","1,200",731 Front St S,,Mankato,56002,Blue Earth,MN
One Voice Mixed Chorus,Performing Arts,"$376,541","4,700",200,732 Holly Ave,,Saint Paul,55104-7125,Ramsey,MN
Saint Paul Snowblower Ballet,Performing Arts,"$62,525","2,400",400,748 Aldine St,,Saint Paul,55104,Ramsey,MN
Desdamona and the Artists of INK,Literary & Arts,"$41,350",500,250,75 5th St W,,Saint Paul,55102,Ramsey,MN
"COMPAS, Inc.",Arts Multipurpose,"$1,270,656","55,000","32,000",75 5th St W,,Saint Paul,55102-1496,Ramsey,MN
American Composers Forum,Performing Arts,"$1,650,034","286,850","94,270",75 5th St W,,Saint Paul,55102-1439,Ramsey,MN
Minnesota Boychoir,Performing Arts,"$507,026","50,000","10,000",75 5th St W,,Saint Paul,55102,Ramsey,MN
